 Indeks 15442, Ocena: 3 
 Indeks 11730, Ocena: 4 
 Indeks 10238, Ocena: 2 
 Indeks 17246, Ocena: 3 
 Indeks 11572, Ocena: 2 
 Indeks 18934, Ocena: 2 
 Indeks 19154, Ocena: 2 
 Indeks 13261, Ocena: 4 
 Indeks 16186, Ocena: 2 
 Indeks 16631, Ocena: 2 
 Indeks 18704, Ocena: 2 
 Indeks 10490, Ocena: 3 
 Indeks 10069, Ocena: 4 
 Indeks 11630, Ocena: 4 
 Indeks 16378, Ocena: 2 
 Indeks 17818, Ocena: 3 
 Indeks 12556, Ocena: 2 
 Indeks 14329, Ocena: 5 
 Indeks 10144, Ocena: 2 
 Indeks 14731, Ocena: 3 
 Indeks 19296, Ocena: 2 
 Indeks 11905, Ocena: 2 
 Indeks 14996, Ocena: 2 
 Indeks 16844, Ocena: 2 
 Indeks 10848, Ocena: 4 
 Indeks 19046, Ocena: 2 
 Indeks 14086, Ocena: 3 
 Indeks 16248, Ocena: 2 
 Indeks 17126, Ocena: 4 
 Indeks 12157, Ocena: 2 
 Indeks 13244, Ocena: 3 
 Indeks 13274, Ocena: 4 
 Indeks 17000, Ocena: 2 
 Indeks 13865, Ocena: 3 
 Indeks 18326, Ocena: 3 
 Indeks 13541, Ocena: 2 
 Indeks 18981, Ocena: 3 
 Indeks 18693, Ocena: 4 
 Indeks 11331, Ocena: 2 
 Indeks 15166, Ocena: 3 
 Indeks 11383, Ocena: 4 
 Indeks 11839, Ocena: 3 
 Indeks 16527, Ocena: 2 
 Indeks 18470, Ocena: 3 
 Indeks 17158, Ocena: 3 
 Indeks 13475, Ocena: 2 
 Indeks 17099, Ocena: 4 
 Indeks 13114, Ocena: 2 
 Indeks 15084, Ocena: 4 
 Indeks 15477, Ocena: 2 
